parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
75216143,"Corn, yellow, cooked, from canned, made with margarine",11172.0,"Corn, sweet, yellow, canned, whole kernel, drained solids",164.0
75216150,"Corn, yellow, NS as to form, cream style",2047.0,"Salt, table",1.0
75216150,"Corn, yellow, NS as to form, cream style",11174.0,"Corn, sweet, yellow, canned, cream style, regular pack",256.0
75216160,"Corn, yellow and white, cooked, NS as to form, NS as to fat added in cooking",2047.0,"Salt, table",1.0
75216160,"Corn, yellow and white, cooked, NS as to form, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
75216160,"Corn, yellow and white, cooked, NS as to form, NS as to fat added in cooking",11179.0,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",82.0
75216160,"Corn, yellow and white, cooked, NS as to form, NS as to fat added in cooking",11911.0,"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",82.0
75216161,"Corn, yellow and white, cooked, from fresh, NS as to fat added in cooking",2047.0,"Salt, table",1.0
75216161,"Corn, yellow and white, cooked, from fresh, NS as to fat added in cooking",4323.0,"Table fat, averaged",4.729
75216161,"Corn, yellow and white, cooked, from fresh, NS as to fat added in cooking",11168.0,"Corn, sweet, yellow, cooked, boiled, drained, without salt",82.0
75216161,"Corn, yellow and white, cooked, from fresh, NS as to fat added in cooking",11901.0,"Corn, sweet, white, cooked, boiled, drained, without salt",78.5
